,,,,P N   t r i p l e t s,,
,,CPL,PROG,HAB,POT,
,1;SG,ngwanC,nganJ,ndyganJ,kanJ,
,2;SG,ngwaE,ngaG,ndygaG,kaG,
,3;SG,ngwaC,ngaJ,ndygaJ,kaJ,
,1;PL;INCL,ngwanCanE,nganB,ndyganB,kanJ,
,1;PL;EXCL,ngwaC waC,ngaJ waG,ndygaJ waG,kaJ waG,
,2;PL,ngwaC wanE,ngaJ wanI,ndygaJ wanI,kaJ wanI,
,3;PL,ngwaC renqE,ngaJ renqI,ndygaJ renqI,kaJ renqI,
,,,,,,
[8],ndyi4,finished,iv,h-lh-h,mh-mh-mh,l-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,ndyinA,ndyinI,ndyinA,tyinA,
,2;SG,ndyiG,ndyiG,ndyiG,tyiG,
,3;SG,ndyiA,ndyiI,ndyiA,tyiA,
,1;PL;INCL,ndyinJanI,ndyinEanE,ndyinJanI,tyinJanI,
,1;PL;EXCL,ndyiA waG,ndyiI waG,ndyiA waG,tyiA waG,
,2;PL,ndyiA wanA,ndyiI wanA,ndyiA wanA,tyiA wanA,
,3;PL,ndyiA renqA,ndyiI renqA,ndyiA renqA,tyiA renqA,
,,,,,,
[9],ntykwa4,reached,tv  Is this the same as,l-lh-l,mh-lh-mh,l-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,ntykwanA,ntykwanI,ntykwanA,tykwanA,
,2;SG,ntykwaG,ntykwaG,ntykwaG,tykwaG,
,3;SG,ntykwaA,ntykwaI,ntykwaA,tykwaA,
,1;PL;INCL,ntykwanJanI,ntykwanEanE,ntykwanJanI,tykwaJanI,
,1;PL;EXCL,ntykwaA waG,ntykwaI waG,ntykwaA waG,tykwaA waG,
,2;PL,ntykwaA wanA,ntykwaI wanA,ntykwaA wanA,tykwaA wanA,
,3;PL,ntykwaA renqA,ntykwaI renqA,ntykwaA renqA,tykwaA renqA,
,,,,,,
[9],yta4,waited,iv,l-lh-l,mh-lh-mh,l-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,ytanA,ntanI,ntyanA,ktanA,
,2;SG,ytaG,ntaG,ntyaG,ktaG,
,3;SG,ytaA,ntaI,ntyanA,ktaA,
,1;PL;INCL,ytanJanI,ntan1an,ntyanJanI,ktanJanI,
,1;PL;EXCL,ytaA waG,ntaI waG,ntyanA waG,ktaA waG,
,2;PL,ytaA wanA,ntaI wanA,ntyanA wanA,ktaA wanA,
,3;PL,ytaA renqA,ntaI renqA,ntyanA renqA,ktaA renqA,
,,,,,,
[10],ntsaq42,got wet,tv,l-lh-l,mh-lh-mh,ml-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,ntsanqA,ntsanqI,nchanqA,ksanqA,
,2;SG,ntsaqI,ntsaqI,nchaqG,ksaqG,
,3;SG,ntsaqG,ntsaqI,nchaqA,ksaqA,
,1;PL;INCL,ntsanqGanG,ntsanqEanE,nchanqJanI,ksanqCanI,
,1;PL;EXCL,ntsaqG waG,ntsaqI waG,nchaqA waG,ksaqA waG,
,2;PL,ntsaqG wanA,ntsaqI wanA,nchaqA wanA,ksaqA wanA,
,3;PL,ntsaqG renqA,ntsaqI renqA,nchaqA renqA,ksaqA renqA,
,,,,,,
[11],skwan1,plucked,iv,l-lh-l,mh-lh-mh,ms-lh-l
,,CPL,PROG,HAB,POT,
,1;SG,skwanA,nskwanI,nxkwanA,xkwanA,
,2;SG,skwaanG,nskwanG,nxkwanG,xkwanG,
,3;SG,skwanE,nskwanE,nxkwanH,xkwanH,
,1;PL;INCL,skwanEanE,nskwanEanE,nxkwanHanI,xkwanHanI,
,1;PL;EXCL,skwanE waG,nskwanE waG,nxkwanH waG,xkwanH waG,
