Appendix. Corpus of singular forms of 197 SJQ Chatino verbs arranged by AM class and component PN triplets,,,,,,,,,,
[7/31/20],,,,,,,,,,
"AM
 class",Citation form,Gloss,P/N,CPL,PRG,HAB,POT,"CPL
[22],nyaHL,built,"1sg
 2sg
 3sg
 1incl","nyanLS
 nyaMS
 nyaHL","nnyanLS
 nnyaHS
 nnyaHS","nnyanLS
 nnyaMS
 nnyaHL","knyanLS
 knyaMS
 knyaHL
 knyaHS",⟨hl‑ms‑ls⟩,⟨hs‑hs‑ls⟩,⟨hl‑ms‑ls⟩
[22],nyiHL,dug a hole,"1sg
 2sg
 3sg","nyinLS
 nyiMS
 nyiHL","nnyinLS
 nnyiHS
 nnyiHS","nnyinLS
 nnyiMS
 nnyiHL","knyinLS
 knyiMS
 knyiHL",⟨hl‑ms‑ls⟩,⟨hs‑hs‑ls⟩,⟨hl‑ms‑ls⟩
[23],ntsonHL,warmed up,"1sg
 2sg
 3sg","ntsonLS
 ntsonMS
 ntsonHL","ntsonLS
 ntsonMS
 ntsonHS","ntsonLS
 ntsonMS
 ntsonHL","ktsonLS
 ktsonMS
 ktsonHL",⟨hl‑ms‑ls⟩,⟨hs‑ms‑ls⟩,⟨hl‑ms‑ls⟩
[23],nyaHL,trembled,"1sg
 2sg
 3sg
 1incl","nyanLS
 nyaMS
 nyaHL","nnyanLS
 nnyaMS
 nnyaHS","nnyanLS
 nnyaMS
 nnyaHL","knyanLS
 knyaMS
 knyaHL
 knyaHS",⟨hl‑ms‑ls⟩,⟨hs‑ms‑ls⟩,⟨hl‑ms‑ls⟩
[23],quHL,showed,"1sg
 2sg
 3sg","qonLS
 quMS
 quHL","ntqonLS
 ntquMS
 ntquHS","ntqonLS
 ntquMS
 ntquHL","qonLS
 quMS
 quHL",⟨hl‑ms‑ls⟩,⟨hs‑ms‑ls⟩,⟨hl‑ms‑ls⟩
[23],sluHL,spilled,"1sg
 2sg
 3sg","slonLS
 sluMS
 sluHL","nslonLS
 nsluMS
 nsluHS","nslonLS
 nsluMS
 nsluHL","slonLS
 sluMS
 sluHL",⟨hl‑ms‑ls⟩,⟨hs‑ms‑ls⟩,⟨hl‑ms‑ls⟩
[23],sqwaHL,put in,"1sg
 2sg
 3sg","sqwanLS
 sqwaMS
 sqwaHL","ntsqwanLS
 ntsqwaMS
 ntsqwaHS","nsqwanLS
 nsqwaMS
 nsqwaHL","sqwanLS
 sqwaMS
 sqwaHL",⟨hl‑ms‑ls⟩,⟨hs‑ms‑ls⟩,⟨hl‑ms‑ls⟩
[24],ntykwanHL,trembled,"1sg
 2sg
 3sg","ntykwanLS
 ntykwanMS
 ntykwanHL","ntykwanLS
 ntykwanH
 ntykwanLM","ntykwanLS
 ntykwaMS
 ntykwanHL","tykwanLS
 tykwanMS
 tykwanHL",⟨hl‑ms‑ls⟩,⟨lm‑h‑ls⟩,⟨hl‑ms‑ls⟩
[25],naqHL,washed hands,"1sg
 2sg
 3sg","nanqLS
 naqMS
 naqHL","nnanqLS
 nnaqH
 nnaqM","nnyanqLS
 nnyaqMS
 nnyaqHL","nyanqLS
 nyaqMS
 nyaqHL",⟨hl‑ms‑ls⟩,⟨m‑h‑ls⟩,⟨hl‑ms‑ls⟩
[25],nyiHL,confessed,"1sg
 2sg
 3sg","nyinLS
 nyiMS
 nyiHL","nnyinLS
 nnyiH
 nnyiM","nnyinLS
 nnyiMS
 nnyiHL","nyinLS
 nyiMS
 nyiHL",⟨hl‑ms‑ls⟩,⟨m‑h‑ls⟩,⟨hl‑ms‑ls⟩
